Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
Amarissa ,Parfum,,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/amarisa,http://images.malkelapagading.com/tenant/Amarissalogo-40.jpg
Aneka Citra Snack ,Aneka Snack lokal dan impor,0214507984,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/aneka-citra-snack,http://images.malkelapagading.com/tenant/Aneka-Citra-Snacklogo.jpg
AntarArtha Benua ,Penukaran mata uang asing / money changer,0214529573,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/antarartha-benua,http://images.malkelapagading.com/tenant/Antarartha-Benualogo.jpg
Arena ,"Gadget, aksesoris handphone",02145853638,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/arena-gadget,http://images.malkelapagading.com/tenant/Arenalogo1.jpg
Arena ,Pakaian khusus beragam keperluan olahraga,02145853638,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/arena,http://images.malkelapagading.com/tenant/Arenalogo.jpg
ARTLAND ,Art & craft materials,,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/artland,http://images.malkelapagading.com/tenant/ARTLANDlogo-31.jpg
ASICS  ,"Sport Wear, Shoes",02139704044,https://api.whatsapp.com/send?phone=0881024586314,MKG-2,Lantai Dasar,,https://www.malkelapagading.com/directory/asics,http://images.malkelapagading.com/tenant/ASICS-logo-0.jpg
ATM BCA ,Mesin Anjungan Tunai & Non Tunai BCA,,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/atm-bca,http://images.malkelapagading.com/tenant/ATM-BCAlogo.jpg
ATM Center 01 ,"CIMB Niaga, Panin Bank",,,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement P1/P1A,https://www.malkelapagading.com/directory/atm-center-01,http://images.malkelapagading.com/tenant/ATM-Center-logo1.jpg
ATM Center 02 ,"BCA, Mega, OCBC, NISP, CIMB Niaga, Permata, Mayapada, Danamon",,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/atm-center,http://images.malkelapagading.com/tenant/ATM-Center-logo.jpg
Auntie Anne`s ,Pretzel & Juice,02145878341,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/auntie-annes,http://images.malkelapagading.com/tenant/Auntie-Anneslogo.jpg
 Tommy Hilfiger ,Iconic Fashion. Modern Americana,021-45878524,https://api.whatsapp.com/send?phone=087888377852,MKG-3,Lantai 1,,https://www.malkelapagading.com/directory/tommy-hilfiger,http://images.malkelapagading.com/tenant/Tommy-Hilfigerlogo-65.jpg
3MONGKIS ,Women Fashion,02145848975,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/3mongkis,http://images.malkelapagading.com/tenant/MONGKISlogo.jpg
7hundredmL ,Wine and Others,0214529709,,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/7hundredml-mall-kelapa-gading,http://images.malkelapagading.com/tenant/hundredmLlogo-93.jpg
A & W ,"Root Beer, Burger, Hand Breaded Chicken Tender, Hotdog, Fries, Sundaes, Waffles",0214533442,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/a-and-w-restaurant,http://images.malkelapagading.com/tenant/A-W-Restaurantlogo1.jpg
A Fung Baso Sapi ,"Baso Sapi kuah, Tahu Baso",02145853579,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/a-fung-baso-sapi,http://images.malkelapagading.com/tenant/A-Fung-Baso-Sapilogo.jpg
"A. VE, RE. RW ","Salon, produk perawatan rambut",02145878287,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/a-ve-re-rw,http://images.malkelapagading.com/tenant/Punk-Q-Salonlogo1.jpg
ACAII Tea ,Healthy Tea,,,,,,https://www.malkelapagading.com/directory/acaii-tea,http://images.malkelapagading.com/tenant/ACAII-Tealogo-75.jpg
Adelle Jewellery ,"Perhiasan, Premiere Jewellery, House of Jewellery Design",02145853788,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/adelle-jewellery,http://images.malkelapagading.com/tenant/Adelle-Jewellerylogo.jpg
Adidas ,"Sepatu & perlengkapan dari berbagai bidang olahraga, seperti lari, tenis, basket, sepak bola, bersepeda, golf, dan lain-lain.",02145853991,https://api.whatsapp.com/send?phone=6287768135904,MKG-3,Lantai Dasar,Gedung Parkir 3,https://www.malkelapagading.com/directory/adidas,http://images.malkelapagading.com/tenant/Adidaslogo3.jpg
ALDO ,"Shoes, boots, sandals, handbag, accessories",0214533382,,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 2 P2,https://www.malkelapagading.com/directory/aldo,http://images.malkelapagading.com/tenant/ALDOlogo.jpg
Amarissa ,Parfum,,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/amarisa,http://images.malkelapagading.com/tenant/Amarissalogo-40.jpg
Aneka Citra Snack ,Aneka Snack lokal dan impor,0214507984,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/aneka-citra-snack,http://images.malkelapagading.com/tenant/Aneka-Citra-Snacklogo.jpg
AntarArtha Benua ,Penukaran mata uang asing / money changer,0214529573,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/antarartha-benua,http://images.malkelapagading.com/tenant/Antarartha-Benualogo.jpg
Arena ,"Gadget, aksesoris handphone",02145853638,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/arena-gadget,http://images.malkelapagading.com/tenant/Arenalogo1.jpg
Arena ,Pakaian khusus beragam keperluan olahraga,02145853638,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/arena,http://images.malkelapagading.com/tenant/Arenalogo.jpg
ARTLAND ,Art & craft materials,,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/artland,http://images.malkelapagading.com/tenant/ARTLANDlogo-31.jpg
ASICS  ,"Sport Wear, Shoes",02139704044,https://api.whatsapp.com/send?phone=0881024586314,MKG-2,Lantai Dasar,,https://www.malkelapagading.com/directory/asics,http://images.malkelapagading.com/tenant/ASICS-logo-0.jpg
ATM BCA ,Mesin Anjungan Tunai & Non Tunai BCA,,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/atm-bca,http://images.malkelapagading.com/tenant/ATM-BCAlogo.jpg
ATM Center 01 ,"CIMB Niaga, Panin Bank",,,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement P1/P1A,https://www.malkelapagading.com/directory/atm-center-01,http://images.malkelapagading.com/tenant/ATM-Center-logo1.jpg
ATM Center 02 ,"BCA, Mega, OCBC, NISP, CIMB Niaga, Permata, Mayapada, Danamon",,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/atm-center,http://images.malkelapagading.com/tenant/ATM-Center-logo.jpg
Auntie Anne`s ,Pretzel & Juice,02145878341,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/auntie-annes,http://images.malkelapagading.com/tenant/Auntie-Anneslogo.jpg
Auto Glaze ,Jasa cuci mobil & poles,,,MKG-5,Lantai 1,Gedung Parkir 3 P1,https://www.malkelapagading.com/directory/auto-glaze,http://images.malkelapagading.com/tenant/Auto-Glazelogo2.jpg
Avila Catholic Book ,"Buku Renungan, Kitab Suci, Rosario, Salib, Patung, Lilin, Perlengkapan Liturgi, dan lain-lain.",02145853757,https://api.whatsapp.com/send?phone=6281265254869,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/avila-catholic-book,http://images.malkelapagading.com/tenant/Avila-Catholic-Booklogo.jpg
Avocado Lovers ,"Jus Alpukat, Avocado Juice",,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/avocado-lovers,http://images.malkelapagading.com/tenant/Avocado-Loverslogo1.jpg
Ayam Betutu Khas Gilimanuk Bali ,Nasi Campur Bali,,,,,,https://www.malkelapagading.com/directory/ayam-betutu-khas-gilimanuk-bali,http://images.malkelapagading.com/tenant/Ayam-Betutu-Khas-Gilimanuk-Balilogo-41.jpg
B Mobile ,Gadget dan aksesoris,,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/b-mobile,http://images.malkelapagading.com/tenant/B-Mobilelogo1.jpg
Baby Bar ,"Fresh & healthy food for kids, baby porridge, pudding",081262236639,,MKG-3,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/baby-bar,http://images.malkelapagading.com/tenant/Baby-Barlogo.jpg
Baby Empire ,"Premium Products for Baby & Maternity : food, book, body care, bath, accessories, etc",,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/baby-empire,http://images.malkelapagading.com/tenant/Baby-Empirelogo-53.jpg
Babyshop ,"Clothing for babies, kids, and mothers",,https://api.whatsapp.com/send?phone=6281283942651,MKG-3,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/babyshop,http://images.malkelapagading.com/tenant/Babyshoplogo-26.jpg
Baji Pamai ,"Nasi Sirap, Nasi Capcai, Mie Conton, Bihun Hokkian, Mie Goreng",,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/bakmi-baji-pamai,http://images.malkelapagading.com/tenant/Baji-Pamailogo-36.jpg
Bakmi Gajah Mada ,"Bakmi GM, Nasi Capcay, Nasi Sapi Cah Cabai, Mie Goreng, Nasi Goreng, Pangsit Goreng",0214533438,https://api.whatsapp.com/send?phone=6287870001991,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/bakmi-gajah-mada,http://images.malkelapagading.com/tenant/Bakmi-Gajah-Madalogo.jpg
Bakso Malang Cak Uban ,Paket Bakso/Bakwan : Bakso Tahu/Bakso Urat/Siomay Rebus/Siomay Goreng/Pangsit Goreng/Mie Kuning/Bihun,089680788679,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/bakso-malang-cak-uban,http://images.malkelapagading.com/tenant/Bakso-Malang-Cak-Ubanlogo.jpg
Baleno ,"Pakaian, t-shirt, kemeja, celana & jeans, jaket, sweater.",02145853782,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/baleno,http://images.malkelapagading.com/tenant/Balenologo.jpg
Bamboo Dimsum ,"Aneka Dimsum : Siomay, Hakau, Pangsit, Kaki Ayam, Bakpao Chasiu, Lumpia, Mantau",02145858875,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/bamboo-dimsum,http://images.malkelapagading.com/tenant/Bamboo-Dimsumlogo.jpg
Bank BRI ,Banking,,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/bank-bri,http://images.malkelapagading.com/tenant/Bank-BRIlogo.jpg
BAR B Q Plaza ,BBQ,02145864970,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/bar-b-q-plaza,http://images.malkelapagading.com/tenant/BAR-B-Q-Plazalogo1.jpg
Baskin Robbins ,"Ice cram cups, cones, sundaes, drinks, take home packs and custom made ice cream deserts.",02193272057,https://api.whatsapp.com/send?phone=6281808504678,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/baskin-robbins,http://images.malkelapagading.com/tenant/Baskin-Robbinslogo.jpg
Bath & Body Works ,Perawatan tubuh/skincare dan parfum,02145853817,https://api.whatsapp.com/send?phone=6281381633824,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/bath-and-body-works,http://images.malkelapagading.com/tenant/Bath-Body-Workslogo-3.jpg
Bathaholic ,Aromatherapy,,https://api.whatsapp.com/send?phone=628111838866,MKG-3,Lantai 2,Gedung Parkir 3/5 Lantai 2,https://www.malkelapagading.com/directory/bathaholic,http://images.malkelapagading.com/tenant/Bathaholiclogo1.jpg
Batik Keris ,Pakaian batik pria & wanita,0214529628,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/batik-keris,http://images.malkelapagading.com/tenant/Batik-Kerislogo.jpg
BCA ,Service perbankan & mesin ATM,02145853688,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/bca,http://images.malkelapagading.com/tenant/BCAlogo.jpg
Beef Boss ,"Beef, BBQ",021-45856174,https://api.whatsapp.com/send?phone=081380555363,MKG-2,Lantai 2,,https://www.malkelapagading.com/directory/beef-boss,http://images.malkelapagading.com/tenant/Beef-Bosslogo-31.jpg
Ben Gongs Tea ,Bubble Tea,,,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/ben-gongs-tea,http://images.malkelapagading.com/tenant/Ben-Gongs-Tealogo-11.jpg
Benteng Jewellery ,Perhiasan,0214531207,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/benteng-jewellry,http://images.malkelapagading.com/tenant/Benteng-Jewellerylogo.jpg
Bijin Nabe ,Japanese Premium Collagen Hot Pot,021-4585-3932,https://api.whatsapp.com/send?phone= 0812-6666-3266,MKG-5,Lantai 3,,https://www.malkelapagading.com/directory/bijin-nabe,http://images.malkelapagading.com/tenant/Bijin-Nabelogo-97.png
Birkenstock ,Sandals/shoes,02145865009,,MKG-3,Lantai 1,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/birkenstock,http://images.malkelapagading.com/tenant/Birkenstocklogo-8.jpg
Bobo Tokyo ,Brands collective that resonate in honesty of Japanese designs,08112348080,,MKG-3,Lantai 1,Gedung Parkir 5 Lantai 1,https://www.malkelapagading.com/directory/bobo-tokyo,http://images.malkelapagading.com/tenant/Bobo-Tokyologo-52.jpg
BOLDe Store ,Perabot Rumah Tangga,0214531101,,MKG-1,Lantai Dasar,,https://www.malkelapagading.com/directory/bolde-store,http://images.malkelapagading.com/tenant/BOLDe-Storelogo-11.png
Boogie Doggie ,"Jasa perawatan, mandi, dan grooming anjing",02145853681,,Gading Walk,Lantai Dasar,Gedung Parkir 2/3/5 Basement,https://www.malkelapagading.com/directory/boogie-doggie,http://images.malkelapagading.com/tenant/Boogie-Doggielogo.jpg
Boogie Doggie Pet Cafe ,"Dachshund Hot Dog, Mozzarella Dori Bowl, Avocado Tostada, Choco Banana, Cafe Latte",08170288228,,Gading Walk,Lantai Dasar,Gedung Parkir 2/3/5 Basement,https://www.malkelapagading.com/directory/boogie-doggie-pet-cafe,http://images.malkelapagading.com/tenant/Boogie-Doggie-Pet-Cafelogo.jpg
BOOST Juice Bar ,Healthy & Fresh Juice Bar,,https://api.whatsapp.com/send?phone=6287774017059,MKG-3,Lantai 2,Gedung Parkir 3/5,https://www.malkelapagading.com/directory/boost-juice-bar,http://images.malkelapagading.com/tenant/BOOST-Juice-Barlogo-35.jpg
Boots ,"Medicines, Health Supplements, skincare, Toiletries, and Cosmetics",087774260818,,MKG-5,Lantai Dasar,Parkir GF,https://www.malkelapagading.com/directory/boots,http://images.malkelapagading.com/tenant/Bootslogo-26.jpg
Braun Buffel ,Tas & sepatu untuk laki-laki dan wanita,02145853887,https://api.whatsapp.com/send?phone=6287785498024,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/braun-buffel,http://images.malkelapagading.com/tenant/Braun-Buffellogo-5.jpg
Bridges Eyewear ,"Eyewear, glasses, kacamata, sunny / sun glasses",0214525596,,MKG-1,Lantai 1,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/bridges-eyewear,http://images.malkelapagading.com/tenant/Bridges-Eyewearlogo1.jpg
C & F Perfumery ,Menjual aneka parfum dengan merk ternama dunia,0214533404,https://api.whatsapp.com/send?phone=6285728756581,MKG-3,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/c-f-perfume,http://images.malkelapagading.com/tenant/C-F-Perfumerylogo-51.jpg
C&F ,Perfume & Beauty,6214533404,https://api.whatsapp.com/send?phone=6281296039593,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/c-and-f,http://images.malkelapagading.com/tenant/C-Flogo-40.jpg
Caramello Sugar Waxing ,"Sugar waxing, all treatment waxing",02145853949,,MKG-2,Lantai 2,Gedung Parkir 2 Lt 3,https://www.malkelapagading.com/directory/caramello-sugar-waxing,http://images.malkelapagading.com/tenant/Caramello-Sugar-Waxinglogo.jpg
Carl & Claire Perfume ,"Perfume BPOM Registered, High-quality Only",08119888767,https://api.whatsapp.com/send?phone=628119888767,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/carl-and-claire-perfume,http://images.malkelapagading.com/tenant/Carl-Claire-Perfumelogo-41.jpg
CELINA ,"Bedsheet, blanket, bedcover",0811-8967-511,,MKG-3,Lantai 2,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/celina,http://images.malkelapagading.com/tenant/CELINAlogo-66.jpg
Cellini Design Center ,"Sofa, Table, Bedroom, Matress",02145846528,,MKG-5,Lantai 2,,https://www.malkelapagading.com/directory/cellini,http://images.malkelapagading.com/tenant/Cellini-Design-Centerlogo-84.png
Century Health Care ,"Obat, Suplement, Vitamin, dan Alat Kesehatan",0214533429,https://api.whatsapp.com/send?phone=6289601782297,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/century-health-care,http://images.malkelapagading.com/tenant/Century-Health-Carelogo.jpg
Charles & Keith ,"Tas, sepatu, dan aksesoris untuk wanita",02145853805,https://api.whatsapp.com/send?phone=6281281819471,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/charles-and-keith,http://images.malkelapagading.com/tenant/Charles-Keithlogo1.jpg
Charlie`s ,Macaroni Ala America,,,Gading Walk,Lantai Dasar,,https://www.malkelapagading.com/directory/charlies,http://images.malkelapagading.com/tenant/Charlie-slogo-53.jpg
CHATERAISE ,"Japanese Patisserie : Choux Cream, Cream Souffle Cheese Cake, Napoleon Pie, Crispy Choco Cake, Baked Gouda Cheese Cake, Matcha Chocolate Roll, Strawberry Cube Cake, Mochi",,,MKG-3,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/chateraise,http://images.malkelapagading.com/tenant/CHATERAISElogo.jpg
Chatime ,"Taiwanese Bubble Milk Tea, Fruit Tea, Oriental Pop Tea, QQ Jelly, Juice, Smoothies, Coffee",081283893237,https://api.whatsapp.com/send?phone=628111820328,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/new-chatime,http://images.malkelapagading.com/tenant/Chatimelogo.jpg
Chatime ,"Signature Milk Tea, Tea-presso, Tearrific, Mood Refresh, Smoothies, Coffee and Latte.",,https://api.whatsapp.com/send?phone=62895346391605,Gading Walk,Lantai Dasar,,https://www.malkelapagading.com/directory/chatime,http://images.malkelapagading.com/tenant/Chatimelogo-71.jpg
CHURROBITES ,Freshly made Churros & Coffee,,,MKG-3,Basement,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/churrobites,http://images.malkelapagading.com/tenant/CHURROBITESlogo-17.jpg
Cielyn Sleepwear ,Sleepwear for adult & kids,,https://api.whatsapp.com/send?phone=62817788119,MKG-3,Lantai 2,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/cielyn-sleepwear,http://images.malkelapagading.com/tenant/Cielyn-Sleepwearlogo-77.jpg
Cindy ,Aksesoris dan pernak pernik,02145842405,,MKG-2,Lantai 2,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/cindy-yayang,http://images.malkelapagading.com/tenant/Cindylogo.jpg
Cinema XXI ,Worldwide Box Office Movie,02145853821,,MKG-2,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/cinema-xxi,http://images.malkelapagading.com/tenant/Cinema-XXIlogo3.jpg
Cinnabon ,The World`s Most Famous Cinnamon Roll ,,,MKG-2,Lantai Dasar,,https://www.malkelapagading.com/directory/cinnabon,http://images.malkelapagading.com/tenant/Cinnabonlogo-45.jpg
Clarks ,Tas & sepatu untuk laki-laki dan wanita,,https://api.whatsapp.com/send?phone=6887737349066,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/clarks,http://images.malkelapagading.com/tenant/Clarkslogo.jpg
COCO Ichibanya ,"Curry House : Chicken Cutlet Curry, Beef Curry, Hamburg Curry, Seafood Curry, Minced Beef Curry, Sausage Curry, Omelette Curry, ",02145853586,,MKG-3,Lantai 3,Gedung Parkir 2 Lt. 3,https://www.malkelapagading.com/directory/coco-ichibanya,http://images.malkelapagading.com/tenant/COCO-Ichibanyalogo1.jpg
Coldstone ,"Ice Cream, Cakes, Shakes, Smoothies, Sundaes",0214533352,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/coldstone,http://images.malkelapagading.com/tenant/Coldstonelogo.jpg
CONVERSE ,Sneakers,,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/converse,http://images.malkelapagading.com/tenant/CONVERSElogo-64.jpg
D`Crepes ,Savoury & sweet crepes,0214529708,,MKG-3,Lantai 3,Gedung Parkir 3 | Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/dcrepes,http://images.malkelapagading.com/tenant/DCrepeslogo.jpg
D`Paris ,Perhiasan,,,MKG-3,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/d-paris,http://images.malkelapagading.com/tenant/D-Parislogo.jpg
Dairy Queen ,"Aneka  minuman, jus, ice cream, smoothies",02145853751,,MKG-3,Lantai 3,Gedung Parkir 2 Lt. 3 P3A,https://www.malkelapagading.com/directory/dairy-queen,http://images.malkelapagading.com/tenant/Dairy-Queenlogo1.jpg
Daniel Wellington ,"Women watch, men watch, arloji, jam tangan",02145853789,,MKG-3,Lantai 1,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/daniel-wellington,http://images.malkelapagading.com/tenant/Daniel-Wellingtonlogo1.jpg
Dear Butter ,"Crispy, Flaky, Buttery Croffles",,,MKG-3,Lantai Dasar,Parkir GF,https://www.malkelapagading.com/directory/dear-butter,http://images.malkelapagading.com/tenant/Dear-Butterlogo-26.jpg
Din Tai Fung ,"Dumpling & Bun, Soup, Seafood, Meet & Poultry",021-4533363,https://api.whatsapp.com/send?phone=6281511173333,MKG-3,Lantai 3,Gedung Parkir 5 Lantai 2,https://www.malkelapagading.com/directory/din-tai-fung,http://images.malkelapagading.com/tenant/Din-Tai-Funglogo-8.jpg
DJI ,Drone Camera,,,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/dji,http://images.malkelapagading.com/tenant/DJIlogo-9.jpg
Don Bakeshop ,"Bakery, Bread & Pastry",,https://api.whatsapp.com/send?phone=62118988134,MKG-3,Basement,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/don-bakeshop,http://images.malkelapagading.com/tenant/Don-Bakeshoplogo-93.jpg
Doner Kebab ,"Chicken/beef/lamb Kebab, Pita bread, Chicken/beef steak",0214533453,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/donner-kebab,http://images.malkelapagading.com/tenant/Donner-Kebablogo.jpg
Dough Lab ,Artisanal Cookies,6285280894430,https://api.whatsapp.com/send?phone=085280894430,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/doughlab,http://images.malkelapagading.com/tenant/Dough-Lablogo-10.jpg
Drink Temptation ,Aneka  minuman,089688976691,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/drink-temptation,http://images.malkelapagading.com/tenant/Drink-Temptationlogo4.jpg
Dwidaya Tour ,Travel,02145853860,,MKG-2,Lantai 2,,https://www.malkelapagading.com/directory/dwidaya-tour,http://images.malkelapagading.com/tenant/Dwidaya-Tourlogo-72.png
